case,role,altitude_km,inside_R,outside_inner_R,outside_outer_R,radius_scale,inside_nT,outside_nT,ratio,matched_ratio,common_support_fraction
Huygens,Primary crater case,130,0.8,1.2,1.8,1.0,28.313853642402233,66.83895306811978,0.4236130630823287,0.33843089559361306,1.0
Huygens,Primary crater case,130,0.8,1.2,1.8,1.1,30.057525124086357,69.80064733807718,0.4306195754675985,0.35796502082419535,0.9999999999999998
Huygens,Primary crater case,130,0.8,1.2,2.0,0.9,26.241860264660758,65.12019460571577,0.402975765406534,0.309312993077458,1.0
Huygens,Primary crater case,130,0.8,1.2,2.0,1.0,28.313853642402233,69.32403667461541,0.40842765367657824,0.33454075865973343,1.0
Huygens,Primary crater case,130,0.8,1.2,2.0,1.1,30.057525124086357,73.0313791614608,0.4115700055127527,0.3735868285717697,0.9999999999999998
Huygens,Primary crater case,130,0.8,1.5,2.5,0.9,26.241860264660758,74.4886430116678,0.35229343969321963,0.32738758915818056,1.0
Huygens,Primary crater case,130,0.8,1.5,2.5,1.0,28.313853642402233,82.90166351450767,0.341535410051782,0.366535813066345,1.0
Huygens,Primary crater case,130,0.8,1.5,2.5,1.1,30.057525124086357,92.07690326032439,0.32643935731750484,0.3747373558935822,0.9999999999999998
Huygens,Primary crater case,130,1.0,1.2,1.8,0.9,30.98419644218299,64.24708028540829,0.48226621823964944,0.3762547151275273,0.9999999999999998
Huygens,Primary crater case,130,1.0,1.2,1.8,1.0,34.116038803271366,66.83895306811978,0.5104215017925485,0.422072250667696,1.0
Huygens,Primary crater case,130,1.0,1.2,1.8,1.1,36.841744633620664,69.80064733807718,0.5278137959835654,0.4670721021358919,0.9999999999999999
Huygens,Primary crater case,130,1.0,1.2,2.0,0.9,30.98419644218299,65.12019460571577,0.47580012052764087,0.37678146446358873,0.9999999999999998
Huygens,Primary crater case,130,1.0,1.2,2.0,1.0,34.116038803271366,69.32403667461541,0.4921242391495609,0.415287789158557,1.0
Huygens,Primary crater case,130,1.0,1.2,2.0,1.1,36.841744633620664,73.0313791614608,0.5044645884636713,0.46666628826771794,0.9999999999999999
Huygens,Primary crater case,130,1.0,1.5,2.5,0.9,30.98419644218299,74.4886430116678,0.4159586641594433,0.3912148256012294,0.9999999999999998
Huygens,Primary crater case,130,1.0,1.5,2.5,1.0,34.116038803271366,82.90166351450767,0.4115241764394885,0.4310295847836172,1.0
Huygens,Primary crater case,130,1.0,1.5,2.5,1.1,36.841744633620664,92.07690326032439,0.4001192843058574,0.40954906107509553,0.9999999999999999
Huygens,Primary crater case,150,0.6,1.2,1.8,0.9,21.843322236865685,54.12698109599278,0.40355700234097897,0.28057132614713476,1.0
Huygens,Primary crater case,150,0.6,1.2,1.8,1.0,22.779222960528166,56.024742768296925,0.40659219185952944,0.30998570121893004,1.0
Huygens,Primary crater case,150,0.6,1.2,1.8,1.1,23.657611034169612,58.599409304760904,0.4037175683995769,0.3267554289203426,0.9999999999999997
Huygens,Primary crater case,150,0.6,1.2,2.0,0.9,21.843322236865685,54.73772732418406,0.39905424109953747,0.28894229859814563,1.0
Huygens,Primary crater case,150,0.6,1.2,2.0,1.0,22.779222960528166,58.22408653937245,0.3912336683053729,0.3104116702297469,1.0
Huygens,Primary crater case,150,0.6,1.2,2.0,1.1,23.657611034169612,61.039673628458935,0.3875776135070874,0.34552667725108366,0.9999999999999997
Huygens,Primary crater case,150,0.6,1.5,2.5,0.9,21.843322236865685,62.15561232636229,0.3514296041710975,0.3187468549518849,1.0
